Training with 0, 1, 1 position
episode,timestep,reward
2391,455400,327.7082
2393,456000,270.6815
2396,456600,227.4204
2398,457200,210.4959
2401,457800,253.8934
2403,458400,311.6803
2405,459000,302.4849
2407,459600,302.6265
2409,460200,302.0971
2411,460800,305.2909
2413,461400,307.3303
2415,462000,207.7166
2417,462600,242.4453
2420,463200,196.2945
2422,463800,266.254
2424,464400,305.0329
2426,465000,305.9736
2428,465600,323.2096
2431,466200,241.4671
2433,466800,312.7696
2435,467400,318.2761
2437,468000,295.0116
2439,468600,299.2044
2441,469200,272.4903
2443,469800,287.4122
2445,470400,321.7124
2447,471000,281.9286
2449,471600,305.1411
2451,472200,306.2998
2453,472800,317.5744
2455,473400,294.9253
2457,474000,316.8048
2460,474600,271.7869
2462,475200,306.5097
2464,475800,311.7672
2466,476400,314.6672
2468,477000,301.4914
2470,477600,312.1959
2472,478200,310.1834
2474,478800,315.6628
2476,479400,222.8879
2478,480000,275.2483
2480,480600,293.8179
2482,481200,286.825
2484,481800,319.6782
2486,482400,305.422
2488,483000,315.974
2490,483600,274.9721
2493,484200,218.2749
2495,484800,316.7516
2497,485400,326.5392
2499,486000,309.7007
2501,486600,311.5865
2503,487200,299.1714
2505,487800,317.0894
2507,488400,298.5536
2509,489000,248.9965
2511,489600,312.8312
2513,490200,305.4554
2516,490800,287.8005
2518,491400,322.0797
2520,492000,318.8799
2522,492600,312.8649
2524,493200,299.5995
2526,493800,284.7202
2528,494400,316.4745
2530,495000,322.7599
2532,495600,311.1502
2534,496200,289.7983
2536,496800,265.7541
2538,497400,271.3814
2540,498000,319.8784
2542,498600,311.0169
2544,499200,292.1635
2546,499800,286.0162
2548,500400,253.4446
2550,501000,329.9986
2552,501600,307.9339
2554,502200,256.7023
2557,502800,218.7606
2559,503400,315.9815
2561,504000,311.8593
2563,504600,264.5036
2565,505200,329.6735
2567,505800,327.0136
2569,506400,306.3241
2571,507000,316.6767
2574,507600,221.4588
2576,508200,317.101
2578,508800,309.6324
2580,509400,329.7187
2582,510000,295.502
2584,510600,314.5948
2586,511200,326.4432
2588,511800,311.824
2590,512400,325.7438
2592,513000,262.7483
2594,513600,314.7477
2596,514200,300.9186
2598,514800,274.3364
2601,515400,270.7127
2603,516000,287.9461
2605,516600,271.0053
2607,517200,307.7684
2609,517800,308.5461
2611,518400,305.3068
2613,519000,311.0515
2615,519600,334.1631
2617,520200,321.5988
